1:Valérie:176:121:control:2
2:Gabriela:195:95:group A:1,62
3:Nina:201:115:control:1,91
4:Miloslava:174:96:control:1,95
5:Julius:157:53:group B:2,58
6:Jitka:161:61:group A:1,11
7:Ignác:187:119:group A:2,37
8:Antonín:162:72:group B:1
9:Jana:194:85:group A:2,03
10:Robin:203:74:control:1,09
11:Igor:165:99:group A:1,84
12:Alice:166:84:group A:2,5
13:Jeroným:153:120:group A:2,22
14:Boleslav:203:122:group B:1,77
15:Stela:177:68:control:1,42
16:Ljuba:192:76:group B:2,74
17:Dušan:159:104:control:2,15
18:Roland:151:54:group A:2,93
19:Dobroslav:171:73:group B:2,24
20:Věroslav:201:122:control:0,91
21:Ludvík:167:53:control:0,72
22:Lenka:205:49:group A:1,46
23:Hana:187:118:group A:1,03
24:Zdeňka:168:59:group B:1,14
25:Veronika:149:94:control:1,54
26:Felix:150:87:control:0,98
27:Luděk:169:127:group A:1,63
28:Milena:177:113:control:1,28
29:Lada:179:60:group B:1,2
30:Hynek:160:88:control:2,22
31:Dita:154:52:group A:1,89
32:Alexandr:188:130:group B:1,86
33:Tadeáš:166:121:group A:1,02
34:Filip:153:87:group A:2,96
35:Svatopluk:165:66:control:1,41
36:Michal:205:95:control:1,92
37:Olga:161:54:group A:1,12
38:Ondřej:169:119:group B:2,24
39:Irma:197:117:control:2,13
40:Vlasta:175:68:group B:2,45
41:Zita:198:85:control:2,63
42:Laura:171:128:group A:1,05
43:Jan:200:87:group A:1,87
44:Svatava:154:101:control:2,93
45:Eduard:191:73:control:1,18
46:Emanuel:205:63:group A:2,39
47:Vojtěch:168:51:group A:2,19
48:Žaneta:172:93:group A:1,79
49:Ludmila:190:94:group B:1,97
50:Jarmila:202:65:control:1,77
51:Josef:202:60:group A:2,48
52:Miloslav:192:123:control:1,86
53:Maxmilián:152:85:control:1,73
54:Anežka:181:130:group B:1,07
55:Bohumír:182:107:group A:1,87
56:Oldřich:177:78:group A:2,27
57:Jakub:202:104:group A:1,21
58:Adéla:154:119:group B:1,78
59:Ilona:186:80:group B:2,17
60:Zbyněk:166:115:group A:1,39
61:Kvido:198:53:group B:2,8
62:Bohdan:195:88:group B:2,32
63:Gita:188:108:group B:1,68
64:Běla:153:54:control:0,73
65:Václav:163:112:group A:2,25
66:Viktor:156:94:group A:1,32
67:Vanda:176:92:group B:2,27
68:Diana:204:103:control:2,41
69:Ester:168:64:control:2,28
70:Ivana:194:98:group B:2,03
71:Helena:149:85:group A:2,73
72:Ladislav:157:99:control:1,18
